frame_number,cpu_time_ms,ppu_time_ms,ppu_oam_scan_time_ms,ppu_draw_pixels_time_ms,ppu_hblank_time_ms,ppu_vblank_time_ms,mmio_time_ms,lcd_time_ms,sdl_events_time_ms,debugger_time_ms,interrupt_time_ms,other_time_ms,total_frame_time_ms
153,1.7070,0.2765,1.4872,20.0430,2.6806,1.3378,0.2850,0.0000,0.0923,0.2434,0.2160,0.0000,28.3691
154,1.2934,0.2248,1.1147,15.0348,2.1017,0.9528,0.2436,0.0000,0.0307,0.2141,0.2032,0.0000,21.4140
155,1.2593,0.2204,1.1256,14.2058,2.0078,0.7436,0.2244,0.0000,0.0338,0.2037,0.1851,0.0000,20.2096
156,1.5268,0.2446,1.3137,17.7523,2.3727,0.7537,0.2484,0.0000,0.0252,0.2150,0.1891,0.0000,24.6417
157,1.6119,0.2551,1.3767,18.6888,2.5223,0.9906,0.2605,0.0000,0.0582,0.2388,0.1981,0.0000,26.2010
158,1.2439,0.2122,1.0199,13.4531,1.8505,0.7086,0.2198,0.0000,0.0099,0.2268,0.1801,0.0000,19.1249
159,1.0575,0.1884,0.8744,11.1977,1.6149,0.5390,0.2176,0.0000,0.0093,0.1832,0.1694,0.0000,16.0516
160,0.9049,0.1660,0.7735,9.8362,1.4221,0.4008,0.1720,0.0000,0.0059,0.1661,0.1497,0.0000,13.9972
161,0.8686,0.1671,0.7668,9.7968,1.4116,0.4186,0.1725,0.0000,0.0095,0.1592,0.1470,0.0000,13.9178
162,0.8990,0.1704,0.7810,9.9475,1.4567,0.5083,0.1736,0.0000,0.0092,0.1626,0.1504,0.0000,14.2588
163,0.8976,0.1709,0.8012,10.1524,1.4914,0.4268,0.1824,0.0000,0.0083,0.1650,0.1525,0.0000,14.4486
164,0.9348,0.1703,0.8080,10.3949,1.4999,0.4742,0.1842,0.0000,0.0120,0.1654,0.1521,0.0000,14.7959
165,1.5341,0.2340,1.3486,17.8932,2.4020,0.9009,0.2484,0.0000,0.0168,0.2296,0.1919,0.0000,24.9997
166,1.5069,0.2373,1.3130,17.2322,2.3467,1.0033,0.2682,0.0000,0.0616,0.2237,0.1958,0.0000,24.3888
167,1.2671,0.2191,1.0344,13.6720,1.8951,0.7749,0.2266,0.0000,0.0257,0.2081,0.1902,0.0000,19.5133
168,1.5778,0.2476,1.3963,18.3922,2.5526,0.7474,0.2627,0.0000,0.1010,0.2317,0.2056,0.0000,25.7151
169,1.5064,0.2469,1.3348,17.2809,2.3604,0.8177,0.2597,0.0000,0.0203,0.2296,0.2095,0.0000,24.2662
170,1.3294,0.2284,1.2209,15.4114,2.1243,0.5462,0.2385,0.0000,0.0310,0.2161,0.1963,0.0000,21.5426
171,1.4174,0.2403,1.2356,16.3484,2.2816,0.9490,0.2470,0.0000,0.1312,0.2207,0.2017,0.0000,23.2731
172,1.6604,0.2612,1.3867,19.2377,2.6387,0.9880,0.2781,0.0000,0.0628,0.2343,0.2080,0.0000,26.9560
173,1.5021,0.2418,1.2819,16.6942,2.2964,0.8546,0.2504,0.0000,0.0254,0.2221,0.2257,0.0000,23.5949
174,1.0378,0.1926,0.9109,11.7053,1.6414,0.5464,0.1978,0.0000,0.0263,0.1888,0.1703,0.0000,16.6179
175,1.4680,0.2222,1.2368,16.6388,2.2590,0.6500,0.2354,0.0000,0.0518,0.2053,0.1819,0.0000,23.1495
176,1.5552,0.2440,1.3301,18.0452,2.4249,0.7171,0.2625,0.0000,0.0229,0.2288,0.2073,0.0000,25.0383
177,1.7803,0.2795,1.5018,20.4832,2.7098,0.7177,0.2889,0.0000,0.0273,0.2522,0.2216,0.0000,28.2624
178,1.4689,0.2326,1.1849,15.8071,2.1929,0.9837,0.2528,0.0000,0.0534,0.2208,0.1928,0.0000,22.5902
179,1.5344,0.2405,1.2850,17.4676,2.5235,0.9443,0.2508,0.0000,0.1016,0.2160,0.1955,0.0000,24.7594
180,1.5397,0.2393,1.2835,17.1009,2.3590,0.7368,0.2519,0.0000,0.0249,0.2228,0.2069,0.0000,23.9660
181,1.0597,0.1984,0.9561,12.1088,1.7263,0.4974,0.2051,0.0000,0.0188,0.1919,0.1764,0.0000,17.1392
182,1.2866,0.2116,1.1037,14.6610,2.0408,0.7397,0.2214,0.0000,0.0551,0.2013,0.1780,0.0000,20.6993
183,1.6457,0.2579,1.3726,18.4569,2.4761,0.7923,0.2738,0.0000,0.0491,0.2193,0.1939,0.0000,25.7376
184,1.6794,0.2599,1.4066,18.8920,2.5384,0.9175,0.2636,0.0000,0.0210,0.2288,0.2161,0.0000,26.4233
185,1.0078,0.1828,0.8596,10.9645,1.5899,0.4836,0.1938,0.0000,0.0173,0.1809,0.1655,0.0000,15.6457
186,1.6100,0.2410,1.4106,18.5910,2.4871,0.6096,0.2573,0.0000,0.0518,0.2382,0.1971,0.0000,25.6938
187,1.7864,0.2805,1.4360,19.4820,2.5879,0.9056,0.2728,0.0000,0.0375,0.2381,0.2350,0.0000,27.2620
188,1.5641,0.2555,1.3375,17.9779,2.4339,0.7250,0.2747,0.0000,0.0198,0.2351,0.2044,0.0000,25.0281
189,1.2449,0.2120,1.1011,14.4339,2.0231,0.7008,0.2247,0.0000,0.0157,0.1989,0.1789,0.0000,20.3342
190,1.6774,0.2664,1.4820,19.6041,2.6588,0.7212,0.2796,0.0000,0.0197,0.2364,0.2078,0.0000,27.1535
191,1.7332,0.2787,1.5232,20.1450,2.7200,0.7890,0.2882,0.0000,0.0121,0.2465,0.2164,0.0000,27.9526
192,1.1078,0.2089,0.9822,12.6575,1.8039,0.5573,0.2094,0.0000,0.0156,0.2077,0.1842,0.0000,17.9347
193,1.6161,0.2548,1.4045,18.8402,2.4793,1.0564,0.3277,0.0000,0.0137,0.2352,0.2019,0.0000,26.4300
194,1.6780,0.2751,1.5242,20.8814,2.7775,0.7703,0.2839,0.0000,0.0295,0.2411,0.2296,0.0000,28.6908
195,1.3082,0.2322,1.1251,14.5872,2.0077,1.1084,0.2292,0.0000,0.0193,0.2097,0.1859,0.0000,21.0131
